epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91727,4.21724,8.06726,14.6265,2.35965,0,0,0,0,0,0,0,0,3.95823,6.82302,10.1682,2.05625,1.429e-05,1.429e-05,1.429e-05
2,3.13514,4.64639,7.84748,15.3937,2.54562,0,0,0,0,0,0,0,0,3.93958,6.89943,10.2413,2.06944,4.28276e-05,4.28276e-05,4.28276e-05
3,4.40732,4.58141,8.85405,16.4028,2.54778,0,0,0,0,0,0,0,0,3.92883,6.94554,10.3283,2.08156,7.13085e-05,7.13085e-05,7.13085e-05
4,5.54379,4.35486,8.616,15.3094,2.49419,0,0,0,0,0,0,0,0,3.94108,7.04268,10.4055,2.09513,9.97329e-05,9.97329e-05,9.97329e-05
5,6.71128,4.84813,8.61851,16.8477,2.59682,5e-05,0.01149,3e-05,1e-05,0.0001,0.02299,6e-05,2e-05,3.79532,5.28667,7.78968,1.92773,0.000128101,0.000128101,0.000128101
6,8.07436,3.78469,4.89022,7.6135,1.77892,0.08514,0.18084,0.05912,0.01667,0.41666,0.16897,0.06744,0.01719,3.17639,4.08128,4.83386,1.35105,0.000156412,0.000156412,0.000156412
7,9.41173,3.03935,4.04255,4.06802,1.33515,0.30701,0.42262,0.32301,0.10806,0.24378,0.41673,0.23381,0.08844,2.57848,3.77959,14.7508,1.21588,0.000184667,0.000184667,0.000184667
8,10.7669,2.79867,4.21682,4.37378,1.22813,0.2892,0.60307,0.35001,0.14076,0.31474,0.60307,0.32907,0.08062,2.46139,3.8157,4.56504,1.18891,0.000212865,0.000212865,0.000212865
9,12.1018,2.53297,3.52773,2.89078,1.18407,0.71194,0.41111,0.47536,0.18574,0.72664,0.4,0.47027,0.11736,2.32795,3.55786,5.04915,1.14855,0.000241006,0.000241006,0.000241006
10,13.4244,2.45639,3.46815,2.77607,1.17639,0.7349,0.51111,0.63529,0.22729,0.73808,0.53333,0.60585,0.16998,2.41694,3.43781,5.73869,1.19219,0.000269091,0.000269091,0.000269091
11,14.7311,2.56578,3.36673,2.32134,1.12566,0.73377,0.56722,0.62243,0.2279,0.54903,0.68276,0.5838,0.16774,2.39726,3.43013,3.21659,1.18612,0.000297119,0.000297119,0.000297119
12,16.0482,2.41802,3.32112,2.04731,1.10773,0.51292,0.75945,0.64169,0.26597,0.55721,0.75675,0.64114,0.21443,2.22748,3.07801,2.43686,1.12393,0.000325091,0.000325091,0.000325091
13,17.3394,2.38688,3.13627,2.0399,1.0949,0.51264,0.64345,0.61564,0.25843,0.53149,0.64122,0.5904,0.17791,2.23617,3.28929,2.88095,1.11933,0.000353006,0.000353006,0.000353006
14,18.641,2.3919,3.05802,1.83582,1.0758,0.504,0.74061,0.57493,0.23622,0.48068,0.68391,0.56084,0.17915,2.31203,3.1163,3.21763,1.15062,0.000380864,0.000380864,0.000380864
15,19.9408,2.12214,2.79194,1.70785,1.07839,0.35929,0.40764,0.26714,0.08625,0.38216,0.42596,0.285,0.08895,2.67297,3.54206,3.51495,1.26934,0.000408666,0.000408666,0.000408666
16,21.2067,2.32385,2.81115,1.76732,1.09956,0.65944,0.57302,0.60024,0.16599,0.70097,0.60673,0.65457,0.18,2.54144,3.14865,2.67542,1.19694,0.000436412,0.000436412,0.000436412
17,22.4814,2.22144,2.85483,1.63551,1.0533,0.76502,0.6931,0.67578,0.22498,0.71736,0.67011,0.63537,0.2117,2.2754,2.87181,2.52921,1.1202,0.0004641,0.0004641,0.0004641
18,23.802,2.1681,2.63703,1.58236,1.09251,0.6262,0.61571,0.63503,0.28626,0.53233,0.71312,0.61517,0.24112,1.97378,2.74919,3.08702,1.05565,0.000491732,0.000491732,0.000491732
